Course,Equivalent
CWL 323,ENGL 323
CWL 323,RUSS 323
CWL 324,ENGL 322
CWL 324,RUSS 322
CWL 325,RUSS 325
CWL 325,THEA 362
CWL 328,GER 396
CWL 335,RUSS 335
CWL 341,JS 341
CWL 341,REL 340
CWL 341,SAME 341
CWL 350,REL 350
CWL 350,SAME 350
CWL 376,EURO 376
CWL 376,GWS 376
CWL 376,SCAN 376
CWL 387,FR 387
CWL 387,HUM 387
CWL 387,MACS 382
CWL 389,FR 389
CWL 389,HUM 389
CWL 389,MACS 383
CWL 400,AFRO 400
CWL 410,AFST 410
CWL 410,ENGL 470
CWL 410,FR 410
CWL 411,EALC 411
CWL 412,EALC 412
CWL 413,ITAL 413
CWL 413,MDVL 413
CWL 414,ITAL 414
CWL 414,MDVL 414
CWL 415,EALC 415
CWL 417,ENGL 412
CWL 417,MDVL 410
CWL 420,ITAL 420
CWL 420,MDVL 420
CWL 421,HIST 436
CWL 421,REL 420
CWL 421,SLAV 420
CWL 421,YDSH 420
CWL 430,CLCV 430
CWL 430,ENGL 486
CWL 430,GER 405
CWL 430,SLAV 430
CWL 430,SPAN 436
CWL 430,TRST 431
CWL 434,FR 479
CWL 436,POL 446
CWL 440,RUSS 460
CWL 444,RUSS 444
CWL 445,RUSS 445
CWL 450,GWS 450
CWL 453,SLAV 452
CWL 454,JS 454
CWL 454,SAME 454
CWL 457,RUSS 424
CWL 463,SCAN 463
CWL 463,THEA 483
CWL 466,RUSS 461
CWL 467,EALC 466
CWL 467,MACS 466
CWL 470,EURO 470
CWL 470,SCAN 470
CWL 472,PHIL 472
CWL 472,REL 472
CWL 472,SCAN 472
CWL 477,SLAV 477
CWL 477,REES 477
CWL 478,EALC 476
CWL 478,HIST 425
CWL 490,CLCV 490
CWL 503,ENGL 503
CWL 503,MACS 503
CWL 504,ENGL 504
CWL 504,MACS 504
CWL 511,EALC 511
CWL 511,GER 511
CWL 511,SLAV 501
CWL 511,TRST 501
CWL 512,EALC 512
CWL 512,GER 512
CWL 512,SLAV 502
CWL 512,TRST 502
CWL 535,RUSS 535
CWL 552,FR 552
CWL 562,SPAN 535
CWL 570,GER 570
CWL 576,SLAV 576
CWL 578,FR 578
CWL 586,EURO 576
CWL 586,GWS 576
CWL 586,SCAN 576
DANC 340,AFRO 340
DANC 350,ARTE 350
DANC 350,HDFS 361
DANC 464,MUS 471
DANC 581,CI 581
EALC 114,ARTH 114
EALC 120,HIST 120
EALC 122,REL 122
EALC 132,REL 132
EALC 220,HIST 220
EALC 221,HIST 221
EALC 222,HIST 222
EALC 222,REL 224
EALC 226,HIST 226
EALC 227,HIST 227
EALC 275,CWL 275
EALC 276,CWL 276
EALC 276,ENGL 276
EALC 285,ANTH 285
EALC 287,REL 287
EALC 288,ANTH 287
EALC 305,CWL 311
EALC 306,CWL 312
EALC 307,CWL 307
EALC 308,CWL 308
EALC 343,PS 343
EALC 367,HIST 325
EALC 402,ARTH 402
EALC 403,ARTH 403
EALC 411,CWL 411
EALC 412,CWL 412
EALC 415,CWL 415
EALC 420,HIST 420
EALC 421,HIST 422
EALC 425,TRST 430
EALC 426,HIST 426
EALC 427,HIST 427
EALC 430,LING 430
EALC 466,CWL 467
EALC 466,MACS 466
EALC 476,CWL 478
EALC 476,HIST 425
EALC 484,REL 484
EALC 488,REL 488
EALC 495,REL 495
EALC 501,ARTH 501
EALC 511,CWL 511
EALC 511,GER 511
EALC 511,SLAV 501
EALC 511,TRST 501
EALC 512,CWL 512
EALC 512,GER 512
EALC 512,SLAV 502
